Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
15.49,2,0.7903123821455877929614000096,0.793487587846424,0.793487587846424,0.791276136595261,0.791276136595261,0.049515901810699,0.0771780555167125597002803152,0.0673303199630444697002803152,0.00984773555366809,2.4557686422975354607216502982,2.80071472756709086369729696,3.5991338606685608384244295943,192482700
15.50,2,0.7903011252652885850325878238,0.793476295363682,0.793476295363682,0.791264865987645,0.791264865987645,0.0495154721182527,0.0771772319840590488180166756,0.0673260890297069688180166756,0.00985114295435208,2.4555313682044527879801297972,2.8010087314324538393206125815,3.5987786825324945817660992814,192607000
15.51,2,0.7902899815655644419277489593,0.793465116444301,0.793465116444301,0.791253708698623,0.791253708698623,0.0495150474570138,0.0771764174428522323409192984,0.0673218631633458223409192984,0.00985455427950641,2.4552944791819638929753986152,2.8013039597697069864779371577,3.5984248235724340300308727171,192731200
15.52,2,0.7902789508222884601369307233,0.793454050864044,0.793454050864044,0.791242664503796,0.791242664503796,0.0495146278355536,0.0771756118938324389376841783,0.0673176423647013989376841783,0.00985796952913104,2.4550579748333443857966153609,2.8015986677796517199580280036,3.5980707118697523775990633753,192855500
15.53,2,0.7902677316465714440921229539,0.79344279707659,0.79344279707659,0.791231431646741,0.791231431646741,0.0495142245375888,0.0771748160900276194348713758,0.0673134273868015894348713758,0.00986138870322603,2.4548218763133313356985203986,2.8018945884707888927047162367,3.5977179002097903207566634475,192979800
15.54,2,0.7902566266477029385985274103,0.793431657849457,0.793431657849457,0.791220313105769,0.791220313105769,0.0495138262383068,0.0771740292799582491182902000,0.0673092174781669591182902000,0.00986481180179129,2.4545861616756903527702723396,2.8021908608276718513200096938,3.5973656194296467906102635302,193104000
15.55,2,0.7902456326042973241861615959,0.793420629933066,0.793420629933066,0.791209305655566,0.791209305655566,0.0495134322991047,0.0771732507120015272092360263,0.0673050118871746072092360263,0.00986823882482692,2.4543508089700870738709138306,2.8024874961656267889269434813,3.5970138858660345630483800469,193228300
15.56,2,0.7902345521261031022436378257,0.793409515895641,0.793409515895641,0.79119821166517,0.79119821166517,0.0495130518736436,0.0771724826439728899528899555,0.0673008128716400499528899555,0.00987166977233284,2.4541158824602414062766966392,2.8027844600111472902973143314,3.5966626466994089217715401121,193352600
15.57,2,0.7902234848210491994293455259,0.793398415327083,0.793398415327083,0.791187130863978,0.791187130863978,0.0495126792264491,0.0771717228195292408610533036,0.0672966181752201308610533036,0.00987510464430911,2.4538813170887561220552679718,2.8030817865733087207116141952,3.5963119528418832750413857525,193476800
15.58,2,0.7902124284704830523304309685,0.793387326059932,0.793387326059932,0.791176061030634,0.791176061030634,0.0495123159396874,0.0771709727442295808817286048,0.0672924293034739108817286048,0.00987854344075567,2.4536471555687853989000887178,2.8033803248019400841386335523,3.5959625544405703218179114511,193601100
15.59,2,0.7902014856827931549007534735,0.793376350738885,0.793376350738885,0.79116510489865,0.79116510489865,0.0495119576768068,0.0771702316664123229268169605,0.0672882455047397429268169605,0.00988198616167258,2.4534133759488906032529924041,2.80367834198749438710778587,3.5956128964907885691045381565,193725400
15.60,2,0.7901904550645551538421155108,0.793365287847787,0.793365287847787,0.791154060829013,0.791154060829013,0.0495116114756399,0.0771694995868104552821559891,0.0672840667797506652821559891,0.00988543280705979,2.4531799778321373452031376402,2.8039775819338636410503170824,3.5952645494247025341213051919,193849600
15.61,2,0.7901794373998399254183413680,0.793354238232166,0.793354238232166,0.791143029728695,0.791143029728695,0.0495112738153161,0.0771687765061563581018825116,0.0672798931292390181018825116,0.00988888337691734,2.4529469608215769644224739096,2.8042771725161128695927762357,3.5949167266017307225771510763,193973900
15.62,2,0.7901685319021294089860654278,0.79334330119227,0.79334330119227,0.791132110932164,0.791132110932164,0.0495109419819877,0.0771680631777840129633563939,0.0672757253065388229633563939,0.00989233787124519,2.4527143460807108005829507049,2.8045771021189370826301408455,3.5945694097690410846008879093,194098100
15.63,2,0.7901575393573019316812324045,0.793332277340043,0.793332277340043,0.791121104982366,0.791121104982366,0.0495106214330788,0.0771673580972503824423002760,0.0672715618072069824423002760,0.0098957962900434,2.4524820900924887609608197897,2.8048782653285060859225708615,3.5942234183627382789137250723,194222400
15.64,2,0.7901466583714885208633900242,0.793321365455235,0.793321365455235,0.791110210727625,0.791110210727625,0.0495103067339374,0.0771666627705273923877385509,0.0672674041372155023877385509,0.00989925863331189,2.4522502355819064824151238145,2.8051788954726626111323051281,3.5938771452371482615352294951,194346700
15.65,2,0.7901356895490249045932443123,0.793310365994398,0.793310365994398,0.791099228529119,0.791099228529119,0.0495100041004399,0.0771659764457388002135770172,0.0672632515446880602135770172,0.00990272490105074,2.4520187605913595750350213862,2.8054807473762040591379483322,3.593532178370750707809778418,194470900
15.66,2,0.7901248336784915280799986649,0.793299479842259,0.793299479842259,0.791088359420284,0.791088359420284,0.0495097057650632,0.0771652983708692751252627247,0.0672591032776094051252627247,0.00990619509325987,2.451787643159275108075252871,2.805782960643694461182065976,3.5931877482835965954949291467,194595200
15.67,2,0.7901139893646742920207883666,0.793288605594364,0.793288605594364,0.791077501882259,0.791077501882259,0.049509416776023,0.0771646300520947574284530041,0.0672549608421553974284530041,0.00990966920993936,2.4515569260164829888120700391,2.8060855121423629664199878548,3.5928438194199799594649309741,194719500
15.68,2,0.7901031582105720007816781257,0.793277744828444,0.793277744828444,0.791066657519996,0.791066657519996,0.0495091363257833,0.0771639707374334366502331964,0.0672508234863442966502331964,0.00991314725108914,2.4513265872023602597303292163,2.8063884132332138454951051095,3.5925004081085429544471292514,194843700
15.69,2,0.7900922390074546651222673998,0.793266796274102,0.793266796274102,0.791055725001345,0.791055725001345,0.0495088679515087,0.0771633204276089962984801509,0.0672466912108997162984801509,0.00991662921670928,2.4510966263197111252933753316,2.8066916637806598556707800904,3.592157513381994267735455712,194968000
15.70,2,0.7900814319616386599943515536,0.793255960259718,0.793255960259718,0.791044904776768,0.791044904776768,0.0495086046583022,0.0771626791233453189469211157,0.0672425640165456189469211157,0.0099201151067997,2.4508670429713469251731578723,2.8069952636488269789639160355,3.5918151342719576850158593151,195092200
15.71,2,0.7900706368661825157822608066,0.793245136517291,0.793245136517291,0.791034096517123,0.791034096517123,0.0495083499483219,0.0771620468253643527741809455,0.0672384419040038727741809455,0.00992360492136048,2.4506378367600189990416263243,2.8073000840942927696356048787,3.5914740558245982673641394532,195216500
15.72,2,0.7900599543236442860560601688,0.793234425710728,0.793234425710728,0.79102340094765,0.79102340094765,0.049508100307029,0.0771614235343878859588844954,0.0672343248739963459588844954,0.00992709866039154,2.4504090072884772541750324586,2.8076052534953808802859650662,3.5911334911044304445097922276,195340800
15.73,2,0.7900490829348028469871693956,0.793223526257117,0.793223526257117,0.791012516301583,0.791012516301583,0.0495078662666515,0.0771608092511361213504046258,0.0672302129272431613504046258,0.00993059632389296,2.4501805541594244626410234804,2.8079107717153860782481881514,3.5907934391398063099489868605,195465000
15.74,2,0.7900383244953911445092861100,0.793212740136175,0.793212740136175,0.791001744742684,0.791001744742684,0.0495076372825462,0.0771602039763294708639645962,0.0672261060644647908639645962,0.00993409791186468,2.4499524769755690993201534386,2.8082166386173179959433202201,3.5904538989579965713316269227,195589300
15.75,2,0.7900275776066351117920085195,0.793201965887343,0.793201965887343,0.790990984748525,0.790990984748525,0.0495074168985123,0.0771596077106860029538348739,0.0672220042863792629538348739,0.00993760342430674,2.4497247753395568010714649791,2.8085228540639689455024327342,3.5901148695852903061271736865,195713600
15.76,2,0.7900169438679928682268674837,0.793191305172035,0.793191305172035,0.790980338042462,0.790980338042462,0.0495072015651736,0.0771590204549237760742859264,0.0672179075937046060742859264,0.00994111286121917,2.4494974488540260427755121521,2.8088302890785823656799250827,3.5897771361882382930434742908,195837800
15.77,2,0.7900063210778557953556662556,0.793180655726372,0.793180655726372,0.790969702298256,0.790969702298256,0.0495069948543806,0.0771584422097596114820370244,0.0672138159871578014820370244,0.00994462622260181,2.4492704971215910288956398839,2.8091372011554818325939870261,3.5894391255333446141530363223,195962100
15.78,2,0.7899955104354527142341512055,0.793169818628429,0.793169818628429,0.790958878472706,0.790958878472706,0.0495068037133563,0.0771578729759093141704058431,0.0672097294674544341704058431,0.00994814350845488,2.4490439197448173695210067816,2.8094453324315826195032011244,3.5891024089513140378515334887,196086300
15.79,2,0.7899849117409449089654582066,0.793159193922087,0.793159193922087,0.790948266853512,0.790948266853512,0.0495066141729766,0.0771573127540885981985604568,0.0672056480353104381985604568,0.00995166471877816,2.4488177163262878367192600548,2.8097538116077964838534079439,3.5887661993227504638573810402,196210600
15.80,2,0.7899742245933536889465709223,0.793148480996999,0.793148480996999,0.79093756667337,0.79093756667337,0.0495064359778197,0.0771567607917895617911847165,0.0672015709382176817911847165,0.00995518985357188,2.4485918648903052025580469105,2.810062650116118318192337355,3.5884305129728644545208266266,196334900
15.81,2,0.7899636505899439858208267511,0.793137881625911,0.793137881625911,0.790926979775385,0.790926979775385,0.0495062635898666,0.0771562185961342227743672786,0.0671974996832983427743672786,0.00995871891283588,2.4483664081948122391050145555,2.810371824681567873664008886,3.588095314313679813166012613,196459100
15.82,2,0.7899529865335181534824300614,0.793127192435215,0.793127192435215,0.790916302714567,0.790916302714567,0.0495061026043981,0.0771556846613582694800710756,0.0671934327647881094800710756,0.00996225189657016,2.4481413026849102860321124769,2.8106822291922752216372646986,3.5877614232636346174391042775,196583400
15.83,2,0.7899424366189165137812835608,0.793116617796821,0.793116617796821,0.790905739934765,0.790905739934765,0.0495059473927652,0.0771551604947183600867883271,0.0671893716899435500867883271,0.00996578880477481,2.4479165911223878182198947242,2.810992969378339124825650539,3.5874280179890604662869118114,196707600
